question,answer_text,context,,
???? ??? ??? ????? ?? ???,?1990?? ???? ??,"????? ???-???? / ???? ?? ? ????? ??? (????? 4 ?? 1981 ?.?) ????? ??? ? ???? ??? ???? ???? ?? ? ???????? ????? ?????? ???? ??? ????? ????? ?????? ???? ????? ?? ???? ???? ??? ?1990?? ????? ?? ??? ??? ? ??? ???? ??? ?? ??? ???? ??? ?????? ? ???? ??? ???? ??????? ?? ??? ???? ?? ???? ???? ?????? ???? ??? ?? ? ????? ????? ??? ???? ????? ? ???? ??? ??? ???? (2003) ????? ? ???? ??? ??? ????? ????? ? ???? ???? ???? ??? ??? ??????? ?100 ??? ??? ""??? ????"" ?? ""??? ??"" ????? ????? ??? ?? ???? ? ?",,
???? ?? ???? ????? ???? ????? ????,???? ?? ???,"????? ???-???? / ???? ?? ? ????? ??? (????? 4 ?? 1981 ?.?) ????? ??? ? ???? ??? ???? ???? ?? ? ???????? ????? ?????? ???? ??? ????? ????? ?????? ???? ????? ?? ???? ???? ??? ?1990?? ????? ?? ??? ??? ? ??? ???? ??? ?? ??? ???? ??? ?????? ? ???? ??? ???? ??????? ?? ??? ???? ?? ???? ???? ?????? ???? ??? ?? ? ????? ????? ??? ???? ????? ? ???? ??? ??? ???? (2003) ????? ? ???? ??? ??? ????? ????? ? ???? ???? ???? ??? ??? ??????? ?100 ??? ??? ""??? ????"" ?? ""??? ??"" ????? ????? ??? ?? ???? ? ?",,
???? ?????? ?? ?? ??? ??? ??? ????? ?? ???,2003,"????? ???-???? / ???? ?? ? ????? ??? (????? 4 ?? 1981 ?.?) ????? ??? ? ???? ??? ???? ???? ?? ? ???????? ????? ?????? ???? ??? ????? ????? ?????? ???? ????? ?? ???? ???? ??? ?1990?? ????? ?? ??? ??? ? ??? ???? ??? ?? ??? ???? ??? ?????? ? ???? ??? ???? ??????? ?? ??? ???? ?? ???? ???? ?????? ???? ??? ?? ? ????? ????? ??? ???? ????? ? ???? ??? ??? ???? (2003) ????? ? ???? ??? ??? ????? ????? ? ???? ???? ???? ??? ??? ??????? ?100 ??? ??? ""??? ????"" ?? ""??? ??"" ????? ????? ??? ?? ???? ? ?",,
???? ???? ????? ???? ??? ??? ???,????? ????,"????? ???-???? / ???? ?? ? ????? ??? (????? 4 ?? 1981 ?.?) ????? ??? ? ???? ??? ???? ???? ?? ? ???????? ????? ?????? ???? ??? ????? ????? ?????? ???? ????? ?? ???? ???? ??? ?1990?? ????? ?? ??? ??? ? ??? ???? ??? ?? ??? ???? ??? ?????? ? ???? ??? ???? ??????? ?? ??? ???? ?? ???? ???? ?????? ???? ??? ?? ? ????? ????? ??? ???? ????? ? ???? ??? ??? ???? (2003) ????? ? ???? ??? ??? ????? ????? ? ???? ???? ???? ??? ??? ??????? ?100 ??? ??? ""??? ????"" ?? ""??? ??"" ????? ????? ??? ?? ???? ? ?",,
???? ??? ???? ????? ??? ??? ??? ???,?1990?? ???? ??,"????? ???-???? / ???? ?? ? ????? ??? (????? 4 ?? 1981 ?.?) ????? ??? ? ???? ??? ???? ???? ?? ? ???????? ????? ?????? ???? ??? ????? ????? ?????? ???? ????? ?? ???? ???? ??? ?1990?? ????? ?? ??? ??? ? ??? ???? ??? ?? ??? ???? ??? ?????? ? ???? ??? ???? ??????? ?? ??? ???? ?? ???? ???? ?????? ???? ??? ?? ? ????? ????? ??? ???? ????? ? ???? ??? ??? ???? (2003) ????? ? ???? ??? ??? ????? ????? ? ???? ???? ???? ??? ??? ??????? ?100 ??? ??? ""??? ????"" ?? ""??? ??"" ????? ????? ??? ?? ???? ? ?",,
???? ??? ??? ?????? ??? ?? ??? ? ??? ????,??? ??? ??,"????? ???-???? / ???? ?? ? ????? ??? (????? 4 ?? 1981 ?.?) ????? ??? ? ???? ??? ???? ???? ?? ? ???????? ????? ?????? ???? ??? ????? ????? ?????? ???? ????? ?? ???? ???? ??? ?1990?? ????? ?? ??? ??? ? ??? ???? ??? ?? ??? ???? ??? ?????? ? ???? ??? ???? ??????? ?? ??? ???? ?? ???? ???? ?????? ???? ??? ?? ? ????? ????? ??? ???? ????? ? ???? ??? ??? ???? (2003) ????? ? ???? ??? ??? ????? ????? ? ???? ???? ???? ??? ??? ??????? ?100 ??? ??? ""??? ????"" ?? ""??? ??"" ????? ????? ??? ?? ???? ? ?",,
???? ??? ??? ????? ?????? ????? ???? ???? ???,???? ????,"????? ???-???? / ???? ?? ? ????? ??? (????? 4 ?? 1981 ?.?) ????? ??? ? ???? ??? ???? ???? ?? ? ???????? ????? ?????? ???? ??? ????? ????? ?????? ???? ????? ?? ???? ???? ??? ?1990?? ????? ?? ??? ??? ? ??? ???? ??? ?? ??? ???? ??? ?????? ? ???? ??? ???? ??????? ?? ??? ???? ?? ???? ???? ?????? ???? ??? ?? ? ????? ????? ??? ???? ????? ? ???? ??? ??? ???? (2003) ????? ? ???? ??? ??? ????? ????? ? ???? ???? ???? ??? ??? ??????? ?100 ??? ??? ""??? ????"" ?? ""??? ??"" ????? ????? ??? ?? ???? ? ?",,
?????? ?? ??? ??????? ?? ???,??? ???,"????? ???-???? / ???? ?? ? ????? ??? (????? 4 ?? 1981 ?.?) ????? ??? ? ???? ??? ???? ???? ?? ? ???????? ????? ?????? ???? ??? ????? ????? ?????? ???? ????? ?? ???? ???? ??? ?1990?? ????? ?? ??? ??? ? ??? ???? ??? ?? ??? ???? ??? ?????? ? ???? ??? ???? ??????? ?? ??? ???? ?? ???? ???? ?????? ???? ??? ?? ? ????? ????? ??? ???? ????? ? ???? ??? ??? ???? (2003) ????? ? ???? ??? ??? ????? ????? ? ???? ???? ???? ??? ??? ??????? ?100 ??? ??? ""??? ????"" ?? ""??? ??"" ????? ????? ??? ?? ???? ? ?",,
???? ?? ????? ?? ???,?1990?? ???? ??,"????? ???-???? / ???? ?? ? ????? ??? (????? 4 ?? 1981 ?.?) ????? ??? ? ???? ??? ???? ???? ?? ? ???????? ????? ?????? ???? ??? ????? ????? ?????? ???? ????? ?? ???? ???? ??? ?1990?? ????? ?? ??? ??? ? ??? ???? ??? ?? ??? ???? ??? ?????? ? ???? ??? ???? ??????? ?? ??? ???? ?? ???? ???? ?????? ???? ??? ?? ? ????? ????? ??? ???? ????? ? ???? ??? ??? ???? (2003) ????? ? ???? ??? ??? ????? ????? ? ???? ???? ???? ??? ??? ??????? ?100 ??? ??? ""??? ????"" ?? ""??? ??"" ????? ????? ??? ?? ???? ? ?",,
???? ????? ?? ?? ?? ?? ??????,??????,"????? ???-???? / ???? ?? ? ????? ??? (????? 4 ?? 1981 ?.?) ????? ??? ? ???? ??? ???? ???? ?? ? ???????? ????? ?????? ???? ??? ????? ????? ?????? ???? ????? ?? ???? ???? ??? ?1990?? ????? ?? ??? ??? ? ??? ???? ??? ?? ??? ???? ??? ?????? ? ???? ??? ???? ??????? ?? ??? ???? ?? ???? ???? ?????? ???? ??? ?? ? ????? ????? ??? ???? ????? ? ???? ??? ??? ???? (2003) ????? ? ???? ??? ??? ????? ????? ? ???? ???? ???? ??? ??? ??????? ?100 ??? ??? ""??? ????"" ?? ""??? ??"" ????? ????? ??? ?? ???? ? ?",,
